date,t1m,t3m,t6m,t1y,t2y,t3y,t5y,t7y,t10y,t20y,t30y,ys,ym,yl,sls,sms,slm,curv,rec,ms,ns
1960-02,NA,NA,NA,4.66,NA,4.73,4.69,NA,4.49,4.28,NA,4.66,4.71,4.385,-0.275,0.05,-0.325,0.375,0,H,4
1960-03,NA,NA,NA,4.02,NA,4.29,4.31,NA,4.25,4.14,NA,4.02,4.3,4.195,0.175,0.28,-0.105,0.385,0,H,4
1960-04,NA,NA,NA,4.04,NA,4.27,4.29,NA,4.28,4.23,NA,4.04,4.28,4.255,0.215,0.24,-0.025,0.265,0,H,4
1960-05,NA,NA,NA,4.21,NA,4.46,4.49,NA,4.35,4.2,NA,4.21,4.475,4.275,0.065,0.265,-0.2,0.465,1,H,4
1965-12,NA,NA,NA,4.72,NA,4.79,4.72,NA,4.62,4.5,NA,4.72,4.755,4.56,-0.16,0.035,-0.195,0.23,0,H,4
1966-01,NA,NA,NA,4.88,NA,4.9,4.86,NA,4.61,4.52,NA,4.88,4.88,4.565,-0.315,0,-0.315,0.315,0,H,4
1966-02,NA,NA,NA,4.94,NA,5.02,4.98,NA,4.83,4.71,NA,4.94,5,4.77,-0.17,0.06,-0.23,0.29,0,H,4
1966-05,NA,NA,NA,4.93,NA,5,4.89,NA,4.78,4.69,NA,4.93,4.945,4.735,-0.195,0.015,-0.21,0.225,0,H,4
1966-06,NA,NA,NA,4.97,NA,5.05,4.97,NA,4.81,4.73,NA,4.97,5.01,4.77,-0.2,0.04,-0.24,0.28,0,H,4
1966-07,NA,NA,NA,5.17,NA,5.26,5.17,NA,5.02,4.84,NA,5.17,5.215,4.93,-0.24,0.045,-0.285,0.33,0,H,4
1966-08,NA,NA,NA,5.54,NA,5.68,5.5,NA,5.22,4.95,NA,5.54,5.59,5.085,-0.455,0.05,-0.505,0.555,0,H,4
1967-02,NA,NA,NA,4.71,NA,4.73,4.74,NA,4.63,4.61,NA,4.71,4.735,4.62,-0.09,0.025,-0.115,0.14,0,H,4
1967-07,NA,NA,NA,5.01,NA,5.06,5.23,NA,5.16,5.01,NA,5.01,5.145,5.085,0.075,0.135,-0.06,0.195,0,H,4
1967-08,NA,NA,NA,5.13,NA,5.23,5.31,NA,5.28,5.12,NA,5.13,5.27,5.2,0.07,0.14,-0.07,0.21,0,H,4
1967-09,NA,NA,NA,5.24,NA,5.41,5.4,NA,5.3,5.16,NA,5.24,5.405,5.23,-0.01,0.165,-0.175,0.34,0,H,4
1967-10,NA,NA,NA,5.37,NA,5.52,5.57,NA,5.48,5.36,NA,5.37,5.545,5.42,0.05,0.175,-0.125,0.3,0,H,4
1967-11,NA,NA,NA,5.61,NA,5.71,5.78,NA,5.75,5.66,NA,5.61,5.745,5.705,0.095,0.135,-0.04,0.175,0,H,4
1968-01,NA,NA,NA,5.43,NA,5.53,5.54,NA,5.53,5.39,NA,5.43,5.535,5.46,0.03,0.105,-0.075,0.18,0,H,4
1968-02,NA,NA,NA,5.41,NA,5.61,5.59,NA,5.56,5.38,NA,5.41,5.6,5.47,0.06,0.19,-0.13,0.32,0,H,4
1968-03,NA,NA,NA,5.58,NA,5.8,5.76,NA,5.74,5.59,NA,5.58,5.78,5.665,0.085,0.2,-0.115,0.315,0,H,4
1968-04,NA,NA,NA,5.71,NA,5.75,5.69,NA,5.64,5.46,NA,5.71,5.72,5.55,-0.16,0.01,-0.17,0.18,0,H,4
1968-08,NA,NA,NA,5.43,NA,5.42,5.5,NA,5.42,5.23,NA,5.43,5.46,5.325,-0.105,0.03,-0.135,0.165,0,H,4
1969-03,NA,NA,NA,6.34,NA,6.38,6.41,NA,6.3,6.22,NA,6.34,6.395,6.26,-0.08,0.055,-0.135,0.19,0,H,4
1969-04,NA,NA,NA,6.26,NA,6.25,6.3,NA,6.17,6.03,NA,6.26,6.275,6.1,-0.16,0.015,-0.175,0.19,0,H,4
1969-05,NA,NA,NA,6.42,NA,6.51,6.54,NA,6.32,6.11,NA,6.42,6.525,6.215,-0.205,0.105,-0.31,0.415,0,H,4
1970-02,NA,NA,NA,7.59,NA,7.79,7.82,7.51,7.24,6.67,NA,7.59,7.706666667,6.955,-0.635,0.116666667,-0.751666667,0.868333333,1,H,4
1970-03,NA,NA,NA,6.97,NA,7.15,7.21,7.13,7.07,6.72,NA,6.97,7.163333333,6.895,-0.075,0.193333333,-0.268333333,0.461666667,1,H,4
1970-04,NA,NA,NA,7.06,NA,7.39,7.5,7.45,7.39,6.85,NA,7.06,7.446666667,7.12,0.06,0.386666667,-0.326666667,0.713333333,1,H,4
1970-05,NA,NA,NA,7.75,NA,7.94,7.97,7.93,7.91,7.24,NA,7.75,7.946666667,7.575,-0.175,0.196666667,-0.371666667,0.568333333,1,H,4
1970-06,NA,NA,NA,7.55,NA,7.84,7.85,7.84,7.84,7.34,NA,7.55,7.843333333,7.59,0.04,0.293333333,-0.253333333,0.546666667,1,H,4
1970-07,NA,NA,NA,7.1,NA,7.56,7.59,7.61,7.46,6.92,NA,7.1,7.586666667,7.19,0.09,0.486666667,-0.396666667,0.883333333,1,H,4
1970-08,NA,NA,NA,6.98,NA,7.46,7.57,7.59,7.53,7.07,NA,6.98,7.54,7.3,0.32,0.56,-0.24,0.8,1,H,4
1970-09,NA,NA,NA,6.73,NA,7.11,7.29,7.4,7.39,6.88,NA,6.73,7.266666667,7.135,0.405,0.536666667,-0.131666667,0.668333333,1,H,4
1970-10,NA,NA,NA,6.43,NA,6.96,7.12,7.32,7.33,6.88,NA,6.43,7.133333333,7.105,0.675,0.703333333,-0.028333333,0.731666667,1,H,4
1971-06,NA,NA,NA,5.64,NA,6.32,6.53,6.65,6.52,6.38,NA,5.64,6.5,6.45,0.81,0.86,-0.05,0.91,0,H,4
1971-07,NA,NA,NA,6.04,NA,6.74,6.85,6.92,6.73,6.38,NA,6.04,6.836666667,6.555,0.515,0.796666667,-0.281666667,1.078333333,0,H,4
1971-08,NA,NA,NA,5.8,NA,6.35,6.55,6.67,6.58,6.27,NA,5.8,6.523333333,6.425,0.625,0.723333333,-0.098333333,0.821666667,0,H,4
1972-11,NA,NA,NA,5.27,NA,5.94,6.12,6.18,6.28,5.79,NA,5.27,6.08,6.035,0.765,0.81,-0.045,0.855,0,H,4
1980-09,NA,NA,NA,11.52,11.57,11.57,11.62,11.57,11.51,11.47,11.34,11.52,11.5825,11.44,-0.08,0.0625,-0.1425,0.205,0,H,4
1981-10,NA,NA,NA,15.38,15.54,15.5,15.41,15.33,15.15,15.13,14.68,15.38,15.445,14.98666667,-0.393333333,0.065,-0.458333333,0.523333333,1,H,4
1982-01,NA,12.92,13.9,14.32,14.57,14.64,14.65,14.67,14.59,14.57,14.22,13.71333333,14.6325,14.46,0.746666667,0.919166667,-0.1725,1.091666667,1,H,4
1982-02,NA,14.28,14.81,14.73,14.82,14.73,14.54,14.46,14.43,14.48,14.22,14.60666667,14.6375,14.37666667,-0.23,0.030833333,-0.260833333,0.291666667,1,H,4
1982-03,NA,13.31,13.83,13.95,14.19,14.13,13.98,13.93,13.86,13.75,13.53,13.69666667,14.0575,13.71333333,0.016666667,0.360833333,-0.344166667,0.705,1,H,4
1982-04,NA,13.34,13.87,13.98,14.2,14.18,14,13.94,13.87,13.57,13.37,13.73,14.08,13.60333333,-0.126666667,0.35,-0.476666667,0.826666667,1,H,4
1982-05,NA,12.71,13.13,13.34,13.78,13.77,13.75,13.74,13.62,13.46,13.24,13.06,13.76,13.44,0.38,0.7,-0.32,1.02,1,H,4
1982-06,NA,13.08,13.76,14.07,14.47,14.48,14.43,14.47,14.3,14.18,13.92,13.63666667,14.4625,14.13333333,0.496666667,0.825833333,-0.329166667,1.155,1,H,4
1982-07,NA,11.86,12.8,13.24,13.8,14,14.07,14.07,13.95,13.76,13.55,12.63333333,13.985,13.75333333,1.12,1.351666667,-0.231666667,1.583333333,1,H,4
1984-09,NA,10.8,11.19,11.58,12.2,12.34,12.53,12.6,12.52,12.42,12.29,11.19,12.4175,12.41,1.22,1.2275,-0.0075,1.235,0,H,4
1988-12,NA,8.35,8.7,8.99,9.09,9.11,9.09,9.13,9.11,NA,9.01,8.68,9.105,9.06,0.38,0.425,-0.045,0.47,0,H,4
1989-01,NA,8.56,8.85,9.05,9.18,9.2,9.15,9.14,9.09,NA,8.93,8.82,9.1675,9.01,0.19,0.3475,-0.1575,0.505,0,H,4
1989-02,NA,8.84,9.05,9.25,9.37,9.32,9.27,9.23,9.17,NA,9.01,9.046666667,9.2975,9.09,0.043333333,0.250833333,-0.2075,0.458333333,0,H,4
1989-03,NA,9.14,9.39,9.57,9.68,9.61,9.51,9.43,9.36,NA,9.17,9.366666667,9.5575,9.265,-0.101666667,0.190833333,-0.2925,0.483333333,0,H,4
1989-04,NA,8.96,9.17,9.36,9.45,9.4,9.3,9.24,9.18,NA,9.03,9.163333333,9.3475,9.105,-0.058333333,0.184166667,-0.2425,0.426666667,0,H,4
1989-05,NA,8.74,8.91,8.98,9.02,8.98,8.91,8.88,8.86,NA,8.83,8.876666667,8.9475,8.845,-0.031666667,0.070833333,-0.1025,0.173333333,0,H,4
1989-09,NA,8.01,8.16,8.22,8.28,8.26,8.17,8.23,8.19,NA,8.15,8.13,8.235,8.17,0.04,0.105,-0.065,0.17,0,H,4
1990-03,NA,8.17,8.28,8.35,8.63,8.63,8.6,8.65,8.59,NA,8.56,8.266666667,8.6275,8.575,0.308333333,0.360833333,-0.0525,0.413333333,0,H,4
2000-02,NA,5.73,6,6.22,6.61,6.65,6.68,6.72,6.52,6.54,6.23,5.983333333,6.665,6.43,0.446666667,0.681666667,-0.235,0.916666667,0,H,4
2000-03,NA,5.86,6.11,6.22,6.53,6.53,6.5,6.51,6.26,6.38,6.05,6.063333333,6.5175,6.23,0.166666667,0.454166667,-0.2875,0.741666667,0,H,4
2000-04,NA,5.82,6.07,6.15,6.4,6.36,6.26,6.27,5.99,6.18,5.85,6.013333333,6.3225,6.006666667,-0.006666667,0.309166667,-0.315833333,0.625,0,H,4
2000-05,NA,5.99,6.39,6.33,6.81,6.77,6.69,6.69,6.44,6.55,6.15,6.236666667,6.74,6.38,0.143333333,0.503333333,-0.36,0.863333333,0,H,4
2000-06,NA,5.86,6.24,6.17,6.48,6.43,6.3,6.33,6.1,6.28,5.93,6.09,6.385,6.103333333,0.013333333,0.295,-0.281666667,0.576666667,0,H,4
2000-07,NA,6.14,6.27,6.08,6.34,6.28,6.18,6.22,6.05,6.2,5.85,6.163333333,6.255,6.033333333,-0.13,0.091666667,-0.221666667,0.313333333,0,H,4
